study	lineage	cluster	n_cells	review_priority	priority_score	review_reasons	suggested_action	final_label	marker_assignment	raw_marker_winner	assignment_reason	marker_score	best_total_score	score_margin	top_celltypist	top_panhuman_fine	top_screfmapping	llm_review_packet
infection_study_04	B_lineage	13	257	low	0	spot_check	accept	Memory B Cell	Memory B Cell	Memory B Cell	raw_marker_winner	0.29873600412139606	3.7205258873898783	3.271654292059139	B Cell:99; Memory B Cell:53; CD4 Naive / T Central Memory:39; Blood Cell:23; NK Cell:21	Memory B Cell:215; Naive B Cell:23; Blood Cell:18; Treg:1	Memory B Cell:231; Naive B Cell:24; CD4 Naive / T Central Memory:1; not_available:1	Study=infection_study_04; lineage=B_lineage; cluster=13; cells=257; final=Memory B Cell; marker_assignment=Memory B Cell; raw_marker_winner=Memory B Cell; assignment_reason=raw_marker_winner; marker_score=0.299; best_total_score=3.721; score_margin=3.272; CellTypist=B Cell:99; Memory B Cell:53; CD4 Naive / T Central Memory:39; Blood Cell:23; NK Cell:21; PanHuman=Memory B Cell:215; Naive B Cell:23; Blood Cell:18; Treg:1; scRefMap=Memory B Cell:231; Naive B Cell:24; CD4 Naive / T Central Memory:1; not_available:1; review_reasons=spot_check.
infection_study_04	B_lineage	2	549	medium	5	marker_assignment_disagrees_with_final;low_total_score_or_margin	review_marker_vs_reference_disagreement	Memory B Cell	Naive B Cell	Naive B Cell	raw_marker_winner	0.5163084395871281	2.0397085610200367	0.02977534911961177	CD4 Naive / T Central Memory:184; B Cell:92; Blood Cell:84; Memory B Cell:68; Naive B Cell:54	Memory B Cell:295; Naive B Cell:146; Blood Cell:83; B Cell:14; Plasma Cell:10	Naive B Cell:304; Memory B Cell:227; Treg:11; CD4 Naive / T Central Memory:4; not_available:2	Study=infection_study_04; lineage=B_lineage; cluster=2; cells=549; final=Memory B Cell; marker_assignment=Naive B Cell; raw_marker_winner=Naive B Cell; assignment_reason=raw_marker_winner; marker_score=0.516; best_total_score=2.040; score_margin=0.030; CellTypist=CD4 Naive / T Central Memory:184; B Cell:92; Blood Cell:84; Memory B Cell:68; Naive B Cell:54; PanHuman=Memory B Cell:295; Naive B Cell:146; Blood Cell:83; B Cell:14; Plasma Cell:10; scRefMap=Naive B Cell:304; Memory B Cell:227; Treg:11; CD4 Naive / T Central Memory:4; not_available:2; review_reasons=marker_assignment_disagrees_with_final,low_total_score_or_margin.
infection_study_04	B_lineage	4	470	low	3	marker_assignment_disagrees_with_final	review_marker_vs_reference_disagreement	Memory B Cell	Naive B Cell	Naive B Cell	raw_marker_winner	0.4561170246131805	3.037878890471107	1.6545278233047351	B Cell:188; Memory B Cell:104; CD4 Naive / T Central Memory:64; Blood Cell:41; Naive B Cell:25	Memory B Cell:356; Naive B Cell:93; Blood Cell:20; B Cell:1	Memory B Cell:320; Naive B Cell:146; not_available:2; Plasma Cell:1; Treg:1	Study=infection_study_04; lineage=B_lineage; cluster=4; cells=470; final=Memory B Cell; marker_assignment=Naive B Cell; raw_marker_winner=Naive B Cell; assignment_reason=raw_marker_winner; marker_score=0.456; best_total_score=3.038; score_margin=1.655; CellTypist=B Cell:188; Memory B Cell:104; CD4 Naive / T Central Memory:64; Blood Cell:41; Naive B Cell:25; PanHuman=Memory B Cell:356; Naive B Cell:93; Blood Cell:20; B Cell:1; scRefMap=Memory B Cell:320; Naive B Cell:146; not_available:2; Plasma Cell:1; Treg:1; review_reasons=marker_assignment_disagrees_with_final.
infection_study_04	T_NK_lineage	1	1362	low	3	screfmapping_not_available	accept	NK Cell	NK Cell	NK Cell	raw_marker_winner	0.8663083700440528	3.4655741556534507	2.6827236000030177	NK Cell:1325; CD8 Cytotoxic / T Effector Memory:29; CD4 Naive / T Central Memory:4; B Cell:1; Blood Cell:1	NK Cell:1316; Blood Cell:46	not_available:1361; CD4 T Effector Memory:1	Study=infection_study_04; lineage=T_NK_lineage; cluster=1; cells=1362; final=NK Cell; marker_assignment=NK Cell; raw_marker_winner=NK Cell; assignment_reason=raw_marker_winner; marker_score=0.866; best_total_score=3.466; score_margin=2.683; CellTypist=NK Cell:1325; CD8 Cytotoxic / T Effector Memory:29; CD4 Naive / T Central Memory:4; B Cell:1; Blood Cell:1; PanHuman=NK Cell:1316; Blood Cell:46; scRefMap=not_available:1361; CD4 T Effector Memory:1; review_reasons=screfmapping_not_available.
infection_study_04	T_NK_lineage	11	847	low	2	screfmapping_not_available	accept	NK Cell	NK Cell	NK Cell	raw_marker_winner	0.7565029515938606	3.311874852420307	2.2374887839433297	NK Cell:554; CD8 Cytotoxic / T Effector Memory:258; CD4 Naive / T Central Memory:29; Treg:2; Blood Cell:2	NK Cell:810; Blood Cell:28; CD8 Cytotoxic / T Effector Memory:9	not_available:847	Study=infection_study_04; lineage=T_NK_lineage; cluster=11; cells=847; final=NK Cell; marker_assignment=NK Cell; raw_marker_winner=NK Cell; assignment_reason=raw_marker_winner; marker_score=0.757; best_total_score=3.312; score_margin=2.237; CellTypist=NK Cell:554; CD8 Cytotoxic / T Effector Memory:258; CD4 Naive / T Central Memory:29; Treg:2; Blood Cell:2; PanHuman=NK Cell:810; Blood Cell:28; CD8 Cytotoxic / T Effector Memory:9; scRefMap=not_available:847; review_reasons=screfmapping_not_available.
infection_study_04	T_NK_lineage	12	757	medium	5	raw_marker_winner_changed_by_policy;ambiguous_or_missing_label_candidate;screfmapping_not_available	evaluate_ontology_gap_or_conservative_policy	NK Cell	NK Cell	NKT Cell	source_supported_marker_tiebreak	0.6587177839464391	2.917116248348745	1.8000554821664467	NK Cell:239; CD8 Cytotoxic / T Effector Memory:163; CD4 Naive / T Central Memory:136; Treg:87; T Cell:77	Lymphoid Cell:575; NK Cell:66; Blood Cell:64; CD8 Cytotoxic / T Effector Memory:43; Treg:9	not_available:613; CD4 Naive / T Central Memory:102; CD4 T Effector Memory:24; Treg:18	Study=infection_study_04; lineage=T_NK_lineage; cluster=12; cells=757; final=NK Cell; marker_assignment=NK Cell; raw_marker_winner=NKT Cell; assignment_reason=source_supported_marker_tiebreak; marker_score=0.659; best_total_score=2.917; score_margin=1.800; CellTypist=NK Cell:239; CD8 Cytotoxic / T Effector Memory:163; CD4 Naive / T Central Memory:136; Treg:87; T Cell:77; PanHuman=Lymphoid Cell:575; NK Cell:66; Blood Cell:64; CD8 Cytotoxic / T Effector Memory:43; Treg:9; scRefMap=not_available:613; CD4 Naive / T Central Memory:102; CD4 T Effector Memory:24; Treg:18; review_reasons=raw_marker_winner_changed_by_policy,ambiguous_or_missing_label_candidate,screfmapping_not_available.
infection_study_04	T_NK_lineage	13	751	medium	6	marker_assignment_disagrees_with_final;ambiguous_or_missing_label_candidate;screfmapping_not_available	evaluate_ontology_gap_or_conservative_policy	CD8 Cytotoxic / T Effector Memory	NKT Cell	NKT Cell	raw_marker_winner	0.6811584242961743	2.2378162450066577	0.836750998668442	CD4 Naive / T Central Memory:411; NK Cell:146; CD8 Cytotoxic / T Effector Memory:129; Treg:28; CD8 Naive / T Central Memory:22	CD8 Cytotoxic / T Effector Memory:241; Blood Cell:239; NK Cell:157; Treg:46; CD4 Naive / T Central Memory:43	not_available:729; CD4 T Effector Memory:17; CD4 Naive / T Central Memory:4; Treg:1	Study=infection_study_04; lineage=T_NK_lineage; cluster=13; cells=751; final=CD8 Cytotoxic / T Effector Memory; marker_assignment=NKT Cell; raw_marker_winner=NKT Cell; assignment_reason=raw_marker_winner; marker_score=0.681; best_total_score=2.238; score_margin=0.837; CellTypist=CD4 Naive / T Central Memory:411; NK Cell:146; CD8 Cytotoxic / T Effector Memory:129; Treg:28; CD8 Naive / T Central Memory:22; PanHuman=CD8 Cytotoxic / T Effector Memory:241; Blood Cell:239; NK Cell:157; Treg:46; CD4 Naive / T Central Memory:43; scRefMap=not_available:729; CD4 T Effector Memory:17; CD4 Naive / T Central Memory:4; Treg:1; review_reasons=marker_assignment_disagrees_with_final,ambiguous_or_missing_label_candidate,screfmapping_not_available.
infection_study_04	T_NK_lineage	14	740	medium	4	marker_assignment_disagrees_with_final;screfmapping_not_available	review_marker_vs_reference_disagreement	CD4 Naive / T Central Memory	CD8 Naive / T Central Memory	CD8 Naive / T Central Memory	raw_marker_winner	0.9491216216216216	3.1463594594594597	0.47129189189189225	CD4 Naive / T Central Memory:600; CD8 Naive / T Central Memory:132; CD8 Cytotoxic / T Effector Memory:3; NK Cell:2; Blood Cell:2	CD8 Naive / T Central Memory:338; CD4 Naive / T Central Memory:323; Blood Cell:75; CD8 Cytotoxic / T Effector Memory:3; CD4 T Effector Memory:1	not_available:446; CD4 Naive / T Central Memory:291; CD4 T Effector Memory:3	Study=infection_study_04; lineage=T_NK_lineage; cluster=14; cells=740; final=CD4 Naive / T Central Memory; marker_assignment=CD8 Naive / T Central Memory; raw_marker_winner=CD8 Naive / T Central Memory; assignment_reason=raw_marker_winner; marker_score=0.949; best_total_score=3.146; score_margin=0.471; CellTypist=CD4 Naive / T Central Memory:600; CD8 Naive / T Central Memory:132; CD8 Cytotoxic / T Effector Memory:3; NK Cell:2; Blood Cell:2; PanHuman=CD8 Naive / T Central Memory:338; CD4 Naive / T Central Memory:323; Blood Cell:75; CD8 Cytotoxic / T Effector Memory:3; CD4 T Effector Memory:1; scRefMap=not_available:446; CD4 Naive / T Central Memory:291; CD4 T Effector Memory:3; review_reasons=marker_assignment_disagrees_with_final,screfmapping_not_available.
infection_study_04	T_NK_lineage	15	736	medium	5	raw_marker_winner_changed_by_policy;ambiguous_or_missing_label_candidate;screfmapping_not_available	evaluate_ontology_gap_or_conservative_policy	NK Cell	NK Cell	NKT Cell	source_supported_marker_tiebreak	0.6757145590490018	2.79603125	1.4006576086956521	NK Cell:446; CD8 Cytotoxic / T Effector Memory:168; CD4 Naive / T Central Memory:106; Blood Cell:6; Treg:5	NK Cell:444; Blood Cell:168; CD8 Cytotoxic / T Effector Memory:113; Lymphoid Cell:6; Treg:3	not_available:736	Study=infection_study_04; lineage=T_NK_lineage; cluster=15; cells=736; final=NK Cell; marker_assignment=NK Cell; raw_marker_winner=NKT Cell; assignment_reason=source_supported_marker_tiebreak; marker_score=0.676; best_total_score=2.796; score_margin=1.401; CellTypist=NK Cell:446; CD8 Cytotoxic / T Effector Memory:168; CD4 Naive / T Central Memory:106; Blood Cell:6; Treg:5; PanHuman=NK Cell:444; Blood Cell:168; CD8 Cytotoxic / T Effector Memory:113; Lymphoid Cell:6; Treg:3; scRefMap=not_available:736; review_reasons=raw_marker_winner_changed_by_policy,ambiguous_or_missing_label_candidate,screfmapping_not_available.
infection_study_04	T_NK_lineage	18	680	low	2	screfmapping_not_available	accept	CD8 Cytotoxic / T Effector Memory	CD8 Cytotoxic / T Effector Memory	CD8 Cytotoxic / T Effector Memory	raw_marker_winner	0.6923970588235294	2.6385735294117647	1.2063558823529412	CD8 Cytotoxic / T Effector Memory:364; CD4 Naive / T Central Memory:169; NK Cell:121; Treg:12; Blood Cell:8	CD8 Cytotoxic / T Effector Memory:325; Blood Cell:234; NK Cell:77; gdT Cell:31; Treg:6	not_available:665; CD4 T Effector Memory:14; CD4 Naive / T Central Memory:1	Study=infection_study_04; lineage=T_NK_lineage; cluster=18; cells=680; final=CD8 Cytotoxic / T Effector Memory; marker_assignment=CD8 Cytotoxic / T Effector Memory; raw_marker_winner=CD8 Cytotoxic / T Effector Memory; assignment_reason=raw_marker_winner; marker_score=0.692; best_total_score=2.639; score_margin=1.206; CellTypist=CD8 Cytotoxic / T Effector Memory:364; CD4 Naive / T Central Memory:169; NK Cell:121; Treg:12; Blood Cell:8; PanHuman=CD8 Cytotoxic / T Effector Memory:325; Blood Cell:234; NK Cell:77; gdT Cell:31; Treg:6; scRefMap=not_available:665; CD4 T Effector Memory:14; CD4 Naive / T Central Memory:1; review_reasons=screfmapping_not_available.
